Name,Solvent,n,n25,a,b,g,e,f,y
thiophene ,c1ccsc1,1.5289,1.5268,0,0.15,44.16,2.727,0.8,0
thiophenol ,c1ccc(cc1)S,1.5893,1.5805,0.09,0.16,55.24,4.2728,0.857,0
toluene ,Cc1ccccc1,1.4961,1.4936,0,0.14,40.2,2.3741,0.857,0
trans-decalin ,C1C[C@H]2[C@@H](CCCC2)CC1,1.4695,1.4671,0,0,42.19,2.1781,0,0
tributylphosphate ,CCCCOP(=O)(OCCCC)OCCCC,1.4224,1.4215,0,1.21,27.55,8.1781,0,0
trichloroethene ,C(=C(Cl)Cl)Cl,1.4773,1.4556,0.08,0.03,41.45,3.422,0,0.6
triethylamine ,CCN(CC)CC,1.401,1.398,0,0.79,29.1,2.3832,0,0
n-undecane ,CCCCCCCCCCC,1.4398,1.4151,0,0,34.85,1.991,0,0
water ,O,1.3328,1.3323,,,,78.355,,
xylene (mixture) ,CC1=CC(C)=CC=C1.CC1C=CC(C)=CC=1.CC1C=CC=CC=1C,1.4995,1.4969,0,0.16,41.38,2.3879,0.75,0
m-xylene ,Cc1cccc(c1)C,1.4972,1.4946,0,0.16,40.98,2.3478,0.75,0
o-xylene ,Cc1ccccc1C,1.5055,1.5029,0,0.16,42.83,2.5454,0.75,0
p-xylene ,Cc1ccc(cc1)C,1.4958,1.4932,0,0.16,40.32,2.2705,0.75,0
